crop_name,soil_ph,temperature,rainfall,humidity,soil_moisture,area,yield_tons
Rice,6.2,28,900,78,65,2.0,5.1
Rice,6.5,29,850,75,62,2.0,4.8
Rice,6.8,27,1000,82,70,3.0,7.5
Wheat,6.5,24,550,60,48,2.0,3.7
Wheat,7.0,23,500,58,45,3.0,5.6
Wheat,6.8,25,600,63,50,2.5,4.9
Maize,6.0,27,700,68,55,2.0,4.2
Maize,6.5,29,750,72,58,2.5,5.8
Maize,6.8,28,800,70,60,3.0,7.0
Tomato,6.0,26,650,70,58,1.0,2.8
Tomato,6.4,27,700,74,62,1.5,4.5
Tomato,6.7,28,750,76,65,2.0,6.2
Potato,5.8,20,600,68,55,2.0,4.0
Potato,6.2,21,650,70,58,2.5,5.5
Potato,6.5,22,700,72,60,3.0,7.1
Cotton,6.5,30,650,62,50,2.0,3.5
Cotton,7.0,31,700,65,53,3.0,5.8
Cotton,6.8,29,600,60,48,2.5,4.7
